,utterance,not sure,other vocalization,robot,props,robot or prop,parent,positive 1,positive 2,point at prop,affective touch,missing data,utterance utterance,cognitive,instruction translation,affective,technical,child,positive 3,other,song,teach,pick up,positive feedback,put down,correction,try again,start,end,PC,CP,PCP,CPC,MG,time
put down,5.88252925960235e-05,0.001847402049140015,0.004402979105278815,0.023310798973490768,0.06600049234443411,0.03663644055479416,0.00036744995235077094,2.4105430691177404e-05,0.0012450771714957684,0.038903430982573026,8.368012110569023e-06,0.03785461177278796,0.0008929873463091607,0.0024551004243879996,0.0052095468914540866,0.006103996551818406,0.00016629090100510436,0.003645623634591589,0.0319515297078991,0.013379859168966671,0.036892024038987455,0.03293406631929685,0.03866569176631961,0.03424838287489241,1.0,0.015868876744799015,0.016285451404028255,0.0007964049347672592,0.0007964049347672592,0.010239647012207642,0.008958562702867127,0.008949791553571179,0.0012788186415295612,0.01214200242472972,1.0
correction,0.0023831868369728467,0.0005192728209425224,0.0016131244569321476,0.03169441117975267,0.07502922151299943,0.0031816807472888624,0.00035809903490215605,0.003195909718173318,0.0026920976752600086,0.007333930422056053,0.015641417775042247,0.0026076745299635226,0.0007793312252030322,0.00039584269050689606,0.003395534944650219,0.009888028353230887,0.021810122792495983,0.010173259885722206,0.011147925434791704,0.008715099638924936,0.023982834132419962,0.021417049830461152,0.02513204881999823,0.02226926652753875,0.037846730129494445,1.0,0.010605161921211591,0.0005192728209425224,0.0005192728209425224,0.015322788992777793,0.011663994105644856,0.006499410696241567,0.007063837028837866,0.007909608147327869,1.0
try again,0.0047696320561755965,0.000522802870492224,0.002889525758246179,0.03374299263004042,0.0046459506405969846,0.003530469892965504,0.01619851937397356,0.04397366969315641,0.03335625300160881,0.03236514626263712,0.007762182784782547,0.002625408050246997,0.0007846294052140464,0.00026060570891117435,0.003418629467407544,0.001627978220685028,0.002889525758246179,0.0012237522368979475,0.01122385034366021,0.008774429902530492,0.024146551269728443,0.02156318336886847,0.02530364716251731,0.022421238522029756,0.03810575758335671,0.010404612889909988,1.0,0.000522802870492224,0.000522802870492224,7.519973413070914e-05,0.0006891172441715884,0.0003306902441037791,0.010686552542092895,0.007963447208107283,1.0
start,0.08439592411857054,0.0002963390592308076,0.0016376979818063556,0.07547992904007322,0.08224628273495563,0.02400232458439618,0.00917553783602056,0.06757823895291656,0.038431085302680565,0.018319611043304335,0.07778523388006577,0.001488020607957044,0.00044474461139027625,0.04118629282601757,0.0019375346103788589,0.02070229196173203,0.0016376979818063556,0.1044530436203653,0.006359060881201326,0.14095790075221157,0.013672784730661983,0.012211394974848506,0.014327230074846615,0.012696828552217564,0.021563193221370795,0.005895118610779341,0.006049594932335274,1.0,0.0002963390592308076,0.05739517258396669,0.05300097784136575,0.0714732341072655,0.05213848206191465,0.004512463719588348,1.0
end,0.08439592411857054,0.0002963390592308076,0.0016376979818063556,0.12244237003083411,0.08224628273495563,0.02400232458439618,0.00917553783602056,0.06757823895291656,0.038431085302680565,0.018319611043304335,0.07778523388006577,0.001488020607957044,0.00044474461139027625,0.04118629282601757,0.0019375346103788589,0.02070229196173203,0.0016376979818063556,0.08991932880763348,0.006359060881201326,0.00497183010906893,0.013672784730661983,0.012211394974848506,0.014327230074846615,0.012696828552217564,0.021563193221370795,0.005895118610779341,0.006049594932335274,0.0002963390592308076,1.0,0.05739517258396669,0.05300097784136575,0.0714732341072655,0.05213848206191465,0.004512463719588348,1.0
PC,0.14389357593647278,0.0013611682506899842,0.0090705314770798,0.009576406476275957,0.008148358178766905,0.0028095999088442185,0.002149487124549904,0.014985901074876589,0.000629628516420071,0.018102626348553162,0.008741928330734094,0.018220348129656797,0.005429133754310322,0.03843115382300029,0.008912027013613488,0.00016697987093136193,0.007530953170314431,0.010853054914307218,0.01902775308435583,0.022928673232384653,0.06355030463638853,0.021246484896989503,7.608367063588264e-08,8.163577979311961e-06,0.006575072746451637,0.004125448986283955,2.0636739516318774e-05,0.0013611682506899842,0.0013611682506899842,1.0,0.04564084231835711,0.51089278892608,0.3280307239102047,0.016890543947934284,1.0
CP,0.20559132374779254,0.003926455225051903,0.00213156521197767,0.0005655047429243817,0.004065870208358333,0.002054372507015112,0.01281591463163488,0.00909606108371048,0.001329438555006885,0.004565582423128435,0.007405071930290734,0.0022482474330606417,0.0019332106444808405,0.03362693067513509,0.008431787746917396,3.4827137793418606e-05,8.157393868273437e-05,8.792674938679124e-06,0.006960544653816835,0.00030603931382742474,0.051853167461449565,0.0036240820435946316,0.0016490112014253613,0.0055270808895831755,0.00589442397528621,0.0032178674293374715,0.00019377839354228467,0.0012879760369858477,0.0012879760369858477,0.046767171802957,1.0,0.21733562886651028,0.1791042268422552,0.003866504733735719,1.0
PCP,0.21344907062860202,0.0016086025723500788,4.874185567625189e-05,0.026826505850473394,0.014370628845764566,9.404568224471175e-06,0.03082092122132557,0.01513685609626948,0.009249331698622588,0.022824176812766665,0.020227870166998514,0.01453352934701401,0.004333425863706948,0.05569424375011407,0.01053636213459764,-2.28687851053577e-16,0.008902900867429177,0.018878978026796125,0.05458380990551119,0.027128688919278207,0.07536890056047489,0.029919824576251697,0.0004007890938933547,1.748666786894745e-06,0.0054537770165414235,0.001660642931564668,8.612218511286743e-05,0.0016086025723500788,0.0016086025723500788,0.48484023510872054,0.20128543576871497,1.0,0.32295236163780994,0.04438816069239931,1.0
CPC,0.09416999792252086,0.003993788076977348,0.022167707955727516,0.004650024228400166,1.8959703730902962e-06,0.0009269781296576811,0.007068679095560237,0.03781483226913467,0.0031917739170683824,0.024486788188517777,0.017129087718693575,0.02013182236706615,0.005996726015213514,0.018042501506919547,0.008338837505394167,0.0002142755876028364,0.0070467773565815696,0.015871621838113123,0.03990187350385578,0.021448101501533964,0.0593972599800175,0.026962724064749144,0.009328674580288167,0.0016825273517106403,0.0008459283188058426,0.0019592195241972857,0.0030211440383402124,0.0012738076610143885,0.0012738076610143885,0.3379275123359466,0.18006421327195515,0.3505731196218484,1.0,0.01162161615625293,1.0
MG,0.18311318327030404,0.00048558135917449474,0.002683729999556263,0.11998546886636921,0.10380828270474807,0.039384251947950144,0.6873450792219425,0.03828995370800725,0.0631176741095657,0.03004942443771816,0.19720256385027077,0.0024384305067532298,0.0007287646901792599,0.00707891588355944,0.003175130906095599,0.007739990461643519,0.002683729999556263,0.17244322614814386,0.00036842842649916353,0.008148947024342296,0.0224211477490932,0.020023005644953892,0.005396666931780538,0.020819556074849296,0.035376733550513476,0.00966273807393417,0.00991602747293706,0.00048558135917449474,0.00048558135917449474,0.07663999622416771,0.01712154409434427,0.21223162920946417,0.05118813859059255,1.0,1.0
time,0.10052358563552347,0.0022108650162876707,0.009255250692946082,0.09914812445370572,0.10026901680037173,0.0636078599853375,0.03451517681586379,0.09714326580261785,0.0804713001470301,0.0543513575748135,0.09958716809328078,0.008561899111682494,0.0031281733553097297,0.08287474348185274,0.010600449793419366,0.058460047829697014,0.009255250692946082,0.10097556518689198,0.026538516217139964,0.022105832905530642,0.045204063341642405,0.04195914900437405,0.04659500843007355,0.04305915637917155,0.05986064055031073,0.02509915978229526,0.0255829463713867,0.0022108650162876707,0.0022108650162876707,0.09322358136502987,0.09097840672000693,0.09823288586306679,0.0904933684424951,0.020545368940575827,1.0
