,Child utterance,Child gaze,Child affect,Child gesture,Child affective touch,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns,Joint attention,Mutual gaze,time
180,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93.36
181,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,93.86
182,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,94.36
183,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,94.86
184,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,95.36
185,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,95.86
186,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,96.36
187,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,96.86
188,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,97.36
189,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,97.86
190,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,98.36
191,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,98.86
192,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,99.36
193,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,99.86
194,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,100.36
195,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,100.86
196,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,101.36
197,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,101.86
198,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,102.36
199,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,102.86
200,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,103.36
201,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,103.86
202,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,104.36
203,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,104.86
204,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,105.36
205,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,105.86
206,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,106.36
207,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,106.86
208,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,107.36
209,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,107.86
210,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,108.36
211,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,108.86
212,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,109.36
213,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,109.86
214,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,110.36
215,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,110.86
216,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,111.36
217,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,111.86
218,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,112.36
219,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,112.86
220,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,113.36
221,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,113.86
222,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,114.36
223,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,114.86
224,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,115.36
225,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,115.86
226,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,116.36
227,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,116.86
228,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,117.36
229,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,117.86
230,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,118.36
231,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,118.86
232,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,119.36
233,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,119.86
234,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,120.36
235,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,120.86
236,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,121.36
237,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,121.86
238,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,122.36
239,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,122.86
240,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,123.36
241,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,123.86
242,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,124.36
243,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,124.86
244,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,125.36
245,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,125.86
246,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,126.36
247,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,126.86
248,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,127.36
249,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,127.86
250,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,128.36
251,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,128.86
252,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,129.36
253,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,129.86
254,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,130.36
255,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,130.86
256,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,131.36
257,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,131.86
258,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,132.36
259,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,132.86
260,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,133.36
261,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,133.86
262,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,134.36
263,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,134.86
264,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,135.36
265,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,135.86
266,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,136.36
267,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,136.86
268,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,137.36
269,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,137.86
270,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,138.36
271,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,138.86
272,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,139.36
273,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,139.86
274,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,140.36
275,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,140.86
276,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,141.36
277,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,141.86
278,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,142.36
279,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,142.86
280,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,143.36
281,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,143.86
282,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,144.36
283,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,144.86
284,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,145.36
285,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,145.86
286,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,146.36
287,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,146.86
288,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,147.36
289,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,147.86
290,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,148.36
