,col base,action base,col count,action count,hist,bins
187,action,Child utterance,sub_action,instruction translation,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
188,action,Child utterance,sub_action,missing data,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
189,action,Child utterance,sub_action,other,[0 1 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
190,action,Child utterance,sub_action,other vocalization,[0 0 1 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
191,action,Child utterance,sub_action,parent,[1 3 5 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
192,action,Child utterance,sub_action,point at prop,[0 1 1 0 1 1 0],[-3 -2 -1  0  1  2  3  4]
193,action,Child utterance,sub_action,props,[0 0 0 3 1 0 3],[-3 -2 -1  0  1  2  3  4]
194,action,Child utterance,sub_action,robot,[ 0  0  1 10  3  8  2],[-3 -2 -1  0  1  2  3  4]
195,action,Child utterance,sub_action,technical,[0 0 0 1 1 0 0],[-3 -2 -1  0  1  2  3  4]
196,action,Child utterance,sub_action,utterance,[1 7 6 4 2 1 1],[-3 -2 -1  0  1  2  3  4]
197,action,Child utterance,action:sub_action,Child gaze:parent,[1 3 5 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
198,action,Child utterance,action:sub_action,Child gaze:props,[0 0 0 1 1 0 0],[-3 -2 -1  0  1  2  3  4]
199,action,Child utterance,action:sub_action,Child gaze:robot,[0 0 0 3 2 2 1],[-3 -2 -1  0  1  2  3  4]
200,action,Child utterance,action:sub_action,Child gesture:other,[0 1 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
201,action,Child utterance,action:sub_action,Child gesture:point at prop,[0 0 1 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
202,action,Child utterance,action:sub_action,Child prop manipulation:child,[0 0 0 0 1 2 1],[-3 -2 -1  0  1  2  3  4]
203,action,Child utterance,action:sub_action,Child utterance:other vocalization,[0 0 1 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
204,action,Child utterance,action:sub_action,Child utterance:utterance,[0 7 5 1 0 0 1],[-3 -2 -1  0  1  2  3  4]
205,action,Child utterance,action:sub_action,Conversational turns:CP,[0 3 2 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
206,action,Child utterance,action:sub_action,Conversational turns:CPC,[0 1 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
207,action,Child utterance,action:sub_action,Conversational turns:PC,[1 0 0 2 0 0 0],[-3 -2 -1  0  1  2  3  4]
208,action,Child utterance,action:sub_action,Conversational turns:PCP,[0 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
209,action,Child utterance,action:sub_action,Joint attention:props,[0 0 0 1 0 0 1],[-3 -2 -1  0  1  2  3  4]
210,action,Child utterance,action:sub_action,Joint attention:robot,[0 0 0 3 1 3 1],[-3 -2 -1  0  1  2  3  4]
